PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S,kfold
631,1,1,80.0,0,0,30.0,1,0,1,0
347,1,2,40.0,0,0,13.0,0,0,1,0
68,0,3,19.0,0,0,8.1583,1,0,1,0
882,0,3,33.0,0,0,7.8958,1,0,1,0
263,0,1,52.0,1,1,79.65,1,0,1,0
406,0,2,34.0,1,0,21.0,1,0,1,0
31,0,1,40.0,0,0,27.7208,1,0,0,0
627,0,2,57.0,0,0,12.35,1,1,0,0
585,0,3,25.0,0,0,8.7125,1,0,0,0
818,0,2,31.0,1,1,37.0042,1,0,0,0
778,1,3,5.0,0,0,12.475,0,0,1,0
154,0,3,40.5,0,2,14.5,1,0,1,0
537,0,1,45.0,0,0,26.55,1,0,1,0
371,1,1,25.0,1,0,55.4417,1,0,0,0
107,1,3,21.0,0,0,7.65,0,0,1,0
554,1,3,22.0,0,0,7.225,1,0,0,0
415,1,3,44.0,0,0,7.925,1,0,1,0
320,1,1,40.0,1,1,134.5,0,0,0,0
395,1,3,24.0,0,2,16.7,0,0,1,0
84,0,1,28.0,0,0,47.1,1,0,1,0
710,1,3,25.0,1,1,15.2458,1,0,0,0
85,1,2,17.0,0,0,10.5,0,0,1,0
185,1,3,4.0,0,2,22.025,0,0,1,0
763,1,3,20.0,0,0,7.2292,1,0,0,0
402,0,3,26.0,0,0,8.05,1,0,1,0
441,1,2,45.0,1,1,26.25,0,0,1,0
438,1,2,24.0,2,3,18.75,0,0,1,0
490,1,3,9.0,1,1,15.9,1,0,1,0
699,0,1,49.0,1,1,110.8833,1,0,0,0
314,0,3,28.0,0,0,7.8958,1,0,1,0
476,0,1,37.0,0,0,52.0,1,0,1,0
528,0,1,37.0,0,0,221.7792,1,0,1,0
285,0,1,37.0,0,0,26.0,1,0,1,0
108,1,3,25.0,0,0,7.775,1,0,1,0
667,0,2,25.0,0,0,13.0,1,0,1,0
622,1,1,42.0,1,0,52.5542,1,0,1,0
468,0,1,56.0,0,0,26.55,1,0,1,0
426,0,3,25.0,0,0,7.25,1,0,1,0
649,0,3,25.0,0,0,7.55,1,0,1,0
252,0,3,29.0,1,1,10.4625,0,0,1,0
195,1,1,44.0,0,0,27.7208,0,0,0,0
782,1,1,17.0,1,0,57.0,0,0,1,0
613,1,3,25.0,1,0,15.5,0,1,0,0
53,1,1,49.0,1,0,76.7292,0,0,0,0
230,0,3,25.0,3,1,25.4667,0,0,1,0
777,0,3,25.0,0,0,7.75,1,1,0,0
63,0,1,45.0,1,0,83.475,1,0,1,0
34,0,2,66.0,0,0,10.5,1,0,1,0
220,0,2,30.0,0,0,10.5,1,0,1,0
297,0,3,23.5,0,0,7.2292,1,0,0,0
774,0,3,25.0,0,0,7.225,1,0,0,0
674,1,2,31.0,0,0,13.0,1,0,1,0
671,1,2,40.0,1,1,39.0,0,0,1,0
888,1,1,19.0,0,0,30.0,0,0,1,0
147,1,3,27.0,0,0,7.7958,1,0,1,0
530,0,2,23.0,2,1,11.5,1,0,1,0
689,0,3,18.0,0,0,7.7958,1,0,1,0
640,0,3,25.0,1,0,16.1,1,0,1,0
416,0,3,25.0,0,0,8.05,0,0,1,0
216,1,1,31.0,1,0,113.275,0,0,0,0
248,1,2,24.0,0,2,14.5,0,0,1,0
135,0,2,25.0,0,0,13.0,1,0,1,0
111,0,1,47.0,0,0,52.0,1,0,1,0
827,0,3,25.0,0,0,56.4958,1,0,1,0
322,0,3,27.0,0,0,7.8958,1,0,1,0
762,0,3,41.0,0,0,7.125,1,0,1,0
191,1,2,32.0,0,0,13.0,0,0,1,0
535,0,3,30.0,0,0,8.6625,0,0,1,0
143,1,3,24.0,1,0,15.85,0,0,1,0
521,1,1,30.0,0,0,93.5,0,0,1,0
115,0,3,17.0,0,0,14.4583,0,0,0,0
520,0,3,32.0,0,0,7.8958,1,0,1,0
7,0,1,54.0,0,0,51.8625,1,0,1,0
848,0,3,35.0,0,0,7.8958,1,0,0,0
105,0,3,37.0,2,0,7.925,1,0,1,0
366,0,3,30.0,0,0,7.25,1,0,1,0
37,1,3,25.0,0,0,7.2292,1,0,0,0
286,0,3,33.0,0,0,8.6625,1,0,0,0
560,1,3,36.0,1,0,17.4,0,0,1,0
1,0,3,22.0,1,0,7.25,1,0,1,0
842,0,2,16.0,0,0,10.5,1,0,1,0
789,1,3,1.0,1,2,20.575,1,0,1,0
270,1,1,35.0,0,0,135.6333,0,0,1,0
225,1,1,38.0,1,0,90.0,1,0,1,0
630,0,3,25.0,0,0,7.7333,1,1,0,0
344,0,2,25.0,0,0,13.0,1,0,1,0
214,0,2,30.0,0,0,13.0,1,0,1,0
556,0,1,62.0,0,0,26.55,1,0,1,0
686,0,2,25.0,1,2,41.5792,1,0,0,0
506,0,1,18.0,1,0,108.9,1,0,0,0
682,1,1,27.0,0,0,76.7292,1,0,0,0
548,1,2,31.0,0,0,13.8625,1,0,0,0
837,0,3,21.0,0,0,8.6625,1,0,1,0
18,1,2,31.0,0,0,13.0,1,0,1,0
488,0,1,58.0,0,0,29.7,1,0,0,0
176,0,3,18.0,1,1,7.8542,1,0,1,0
558,0,1,37.0,0,0,227.525,1,0,0,0
456,1,3,29.0,0,0,7.8958,1,0,0,0
169,0,1,37.0,0,0,25.925,1,0,1,0
469,0,3,25.0,0,0,7.725,1,1,0,0
610,1,1,40.0,0,0,153.4625,0,0,1,0
367,1,1,60.0,1,0,75.25,0,0,0,0
608,1,1,27.0,0,0,30.5,1,0,1,0
621,0,3,27.0,1,0,14.4542,1,0,0,0
189,0,3,40.0,1,1,15.5,1,1,0,0
604,0,3,44.0,0,0,8.05,1,0,1,0
532,0,3,25.0,0,0,7.2292,1,0,0,0
861,0,3,41.0,2,0,14.1083,1,0,1,0
73,0,2,21.0,0,0,73.5,1,0,1,0
551,1,1,17.0,0,2,110.8833,1,0,0,0
527,1,2,50.0,0,0,10.5,0,0,1,0
249,1,1,37.0,1,1,52.5542,1,0,1,0
546,0,1,64.0,0,0,26.0,1,0,1,0
876,1,3,15.0,0,0,7.225,0,0,0,0
376,1,1,37.0,1,0,82.1708,0,0,0,0
449,1,3,5.0,2,1,19.2583,0,0,0,0
114,0,3,20.0,1,0,9.825,0,0,1,0
748,1,2,30.0,0,0,13.0,0,0,1,0
131,0,3,33.0,0,0,7.8958,1,0,0,0
50,0,3,18.0,1,0,17.8,0,0,1,0
600,1,1,49.0,1,0,56.9292,1,0,0,0
743,1,1,21.0,2,2,262.375,0,0,0,0
766,1,1,51.0,1,0,77.9583,0,0,1,0
316,1,3,26.0,0,0,7.8542,0,0,1,0
543,0,3,11.0,4,2,31.275,0,0,1,0
452,0,3,25.0,1,0,19.9667,1,0,1,0
854,1,1,16.0,0,1,39.4,0,0,1,0
355,0,3,25.0,0,0,7.225,1,0,0,0
665,1,3,20.0,1,0,7.925,1,0,1,0
863,1,1,48.0,0,0,25.9292,0,0,1,0
697,0,3,44.0,0,0,8.05,1,0,1,0
342,1,1,24.0,3,2,263.0,0,0,1,0
71,0,2,32.0,0,0,10.5,1,0,1,0
206,0,3,2.0,0,1,10.4625,0,0,1,0
361,0,3,40.0,1,4,27.9,1,0,1,0
275,1,3,25.0,0,0,7.75,0,1,0,0
90,0,3,24.0,0,0,8.05,1,0,1,0
844,0,3,34.5,0,0,6.4375,1,0,0,0
878,0,3,19.0,0,0,7.8958,1,0,1,0
839,1,3,32.0,0,0,56.4958,1,0,1,0
99,1,2,34.0,0,1,23.0,0,0,1,0
673,0,2,70.0,0,0,10.5,1,0,1,0
849,0,2,28.0,0,1,33.0,1,0,1,0
161,0,3,44.0,0,1,16.1,1,0,1,0
483,0,3,50.0,0,0,8.05,1,0,1,0
804,1,3,0.42,0,1,8.5167,1,0,0,0
445,1,3,25.0,0,0,8.1125,1,0,1,0
696,0,2,52.0,0,0,13.5,1,0,1,0
572,1,1,53.0,2,0,51.4792,0,0,1,0
180,0,3,36.0,0,0,0.0,1,0,1,0
58,0,3,28.5,0,0,7.2292,1,0,0,0
13,0,3,20.0,0,0,8.05,1,0,1,0
435,0,1,50.0,1,0,55.9,1,0,1,0
262,1,3,3.0,4,2,31.3875,1,0,1,0
289,1,2,42.0,0,0,13.0,1,0,1,0
126,1,3,12.0,1,0,11.2417,1,0,0,0
217,1,3,27.0,0,0,7.925,0,0,1,0
659,0,2,23.0,0,0,13.0,1,0,1,0
59,1,2,5.0,1,2,27.75,0,0,1,0
324,1,2,22.0,1,1,29.0,0,0,1,0
234,1,3,5.0,4,2,31.3875,0,0,1,0
836,1,1,39.0,1,1,83.1583,0,0,0,0
746,0,1,70.0,1,1,71.0,1,0,1,0
780,1,1,43.0,0,1,211.3375,0,0,1,0
278,0,2,31.0,0,0,0.0,1,0,1,0
742,0,1,36.0,1,0,78.85,1,0,1,0
730,0,3,25.0,1,0,7.925,0,0,1,0
749,0,1,19.0,1,0,53.1,1,0,1,0
773,0,2,57.0,0,0,10.5,0,0,1,0
91,0,3,29.0,0,0,8.05,1,0,1,0
578,1,1,39.0,1,0,55.9,0,0,1,0
565,0,3,25.0,0,0,8.05,0,0,1,0
740,0,3,25.0,0,0,7.8958,1,0,1,0
508,1,1,37.0,0,0,26.55,1,0,1,0
582,1,1,39.0,1,1,110.8833,0,0,0,0
98,1,1,23.0,0,1,63.3583,1,0,0,0
753,0,3,33.0,0,0,9.5,1,0,1,0
317,1,2,24.0,1,0,26.0,0,0,1,0
308,1,1,17.0,1,0,108.9,0,0,0,0
658,0,3,32.0,1,1,15.5,0,1,0,1
731,1,1,29.0,0,0,211.3375,0,0,1,1
378,0,1,27.0,0,2,211.5,1,0,0,1
346,1,2,24.0,0,0,13.0,0,0,1,1
241,0,3,25.0,1,0,14.4542,0,0,0,1
377,1,3,22.0,0,0,7.25,0,0,1,1
735,0,2,23.0,0,0,13.0,1,0,1,1
457,0,1,65.0,0,0,26.55,1,0,1,1
873,0,1,33.0,0,0,5.0,1,0,1,1
365,0,3,25.0,1,0,15.5,1,1,0,1
485,1,1,25.0,1,0,91.0792,1,0,0,1
806,0,3,31.0,0,0,7.775,1,0,1,1
467,0,2,31.0,0,0,0.0,1,0,1,1
547,1,2,19.0,1,0,26.0,0,0,1,1
353,0,3,15.0,1,1,7.2292,1,0,0,1
86,1,3,33.0,3,0,15.85,0,0,1,1
56,1,1,37.0,0,0,35.5,1,0,1,1
721,1,2,6.0,0,1,33.0,0,0,1,1
472,0,3,38.0,0,0,8.6625,1,0,1,1
209,1,3,16.0,0,0,7.75,0,1,0,1
15,0,3,14.0,0,0,7.8542,0,0,1,1
245,0,3,30.0,0,0,7.225,1,0,0,1
759,0,3,34.0,0,0,8.05,1,0,1,1
149,0,2,36.5,0,2,26.0,1,0,1,1
624,0,3,21.0,0,0,7.8542,1,0,1,1
224,0,3,25.0,0,0,7.8958,1,0,1,1
462,0,3,34.0,0,0,8.05,1,0,1,1
693,1,3,25.0,0,0,56.4958,1,0,1,1
375,0,3,3.0,3,1,21.075,0,0,1,1
106,0,3,28.0,0,0,7.8958,1,0,1,1
424,0,3,28.0,1,1,14.4,0,0,1,1
497,1,1,54.0,1,0,78.2667,0,0,0,1
716,0,3,19.0,0,0,7.65,1,0,1,1
254,0,3,30.0,1,0,16.1,1,0,1,1
229,0,2,18.0,0,0,13.0,1,0,1,1
174,0,3,21.0,0,0,7.925,1,0,1,1
727,1,2,30.0,3,0,21.0,0,0,1,1
175,0,1,56.0,0,0,30.6958,1,0,0,1
754,0,3,23.0,0,0,7.8958,1,0,1,1
221,1,3,16.0,0,0,8.05,1,0,1,1
281,0,3,65.0,0,0,7.75,1,1,0,1
72,0,3,16.0,5,2,46.9,0,0,1,1
791,0,3,25.0,0,0,7.75,1,1,0,1
719,0,3,25.0,0,0,15.5,1,1,0,1
601,1,2,24.0,2,1,27.0,0,0,1,1
181,0,3,25.0,8,2,69.55,0,0,1,1
590,0,3,25.0,0,0,8.05,1,0,1,1
109,0,3,38.0,0,0,7.8958,1,0,1,1
67,1,2,29.0,0,0,10.5,0,0,1,1
38,0,3,21.0,0,0,8.05,1,0,1,1
838,0,3,25.0,0,0,8.05,1,0,1,1
732,0,3,11.0,0,0,18.7875,1,0,0,1
767,0,1,37.0,0,0,39.6,1,0,0,1
557,1,1,48.0,1,0,39.6,0,0,0,1
260,1,2,50.0,0,1,26.0,0,0,1,1
203,0,3,34.0,0,0,6.4958,1,0,1,1
513,1,1,36.0,0,0,26.2875,1,0,1,1
2,1,1,38.0,1,0,71.2833,0,0,0,1
626,0,1,61.0,0,0,32.3208,1,0,1,1
677,0,3,24.5,0,0,8.05,1,0,1,1
329,1,3,31.0,1,1,20.525,0,0,1,1
442,0,3,20.0,0,0,9.5,1,0,1,1
101,0,3,28.0,0,0,7.8958,0,0,1,1
150,0,2,42.0,0,0,13.0,1,0,1,1
178,0,1,50.0,0,0,28.7125,0,0,0,1
276,1,1,63.0,1,0,77.9583,0,0,1,1
825,0,3,2.0,4,1,39.6875,1,0,1,1
255,0,3,41.0,0,2,20.2125,0,0,1,1
619,1,2,4.0,2,1,39.0,0,0,1,1
331,1,3,25.0,2,0,23.25,0,1,0,1
675,0,2,31.0,0,0,0.0,1,0,1,1
89,1,1,23.0,3,2,263.0,0,0,1,1
140,0,1,24.0,0,0,79.2,1,0,0,1
636,1,2,28.0,0,0,13.0,0,0,1,1
474,1,2,23.0,0,0,13.7917,0,0,0,1
736,0,3,28.5,0,0,16.1,1,0,1,1
20,1,3,25.0,0,0,7.225,0,0,0,1
507,1,2,33.0,0,2,26.0,0,0,1,1
283,0,3,16.0,0,0,9.5,1,0,1,1
473,1,2,33.0,1,2,27.75,0,0,1,1
434,0,3,17.0,0,0,7.125,1,0,1,1
51,0,3,7.0,4,1,39.6875,1,0,1,1
196,1,1,58.0,0,0,146.5208,0,0,0,1
450,1,1,52.0,0,0,30.5,1,0,1,1
277,0,3,45.0,0,0,7.75,0,0,1,1
714,0,3,29.0,0,0,9.4833,1,0,1,1
32,1,1,37.0,1,0,146.5208,0,0,0,1
238,1,2,8.0,0,2,26.25,0,0,1,1
586,1,1,18.0,0,2,79.65,0,0,1,1
832,1,2,0.83,1,1,18.75,1,0,1,1
859,1,3,24.0,0,3,19.2583,0,0,0,1
512,0,3,25.0,0,0,8.05,1,0,1,1
171,0,1,61.0,0,0,33.5,1,0,1,1
679,0,3,43.0,1,6,46.9,0,0,1,1
588,1,1,60.0,1,1,79.2,1,0,0,1
148,0,3,9.0,2,2,34.375,0,0,1,1
770,0,3,32.0,0,0,8.3625,1,0,1,1
723,0,2,34.0,0,0,13.0,1,0,1,1
212,1,2,35.0,0,0,21.0,0,0,1,1
447,1,2,13.0,0,1,19.5,0,0,1,1
868,0,1,31.0,0,0,50.4958,1,0,1,1
463,0,1,47.0,0,0,38.5,1,0,1,1
247,0,3,25.0,0,0,7.775,0,0,1,1
408,1,2,3.0,1,1,18.75,1,0,1,1
503,0,3,25.0,0,0,7.6292,0,1,0,1
684,0,3,14.0,5,2,46.9,1,0,1,1
712,0,1,37.0,0,0,26.55,1,0,1,1
119,0,1,24.0,0,1,247.5208,1,0,0,1
167,1,1,37.0,0,1,55.0,0,0,1,1
307,1,1,37.0,0,0,110.8833,0,0,0,1
706,0,2,39.0,0,0,26.0,1,0,1,1
186,0,1,37.0,0,0,50.0,1,0,1,1
266,0,2,36.0,0,0,10.5,1,0,1,1
146,0,2,19.0,1,1,36.75,1,0,1,1
515,0,3,24.0,0,0,7.4958,1,0,1,1
670,1,1,37.0,1,0,52.0,0,0,1,1
55,0,1,65.0,0,1,61.9792,1,0,0,1
190,0,3,36.0,0,0,7.8958,1,0,1,1
690,1,1,15.0,0,1,211.3375,0,0,1,1
410,0,3,25.0,3,1,25.4667,0,0,1,1
459,1,2,50.0,0,0,10.5,0,0,1,1
46,0,3,25.0,0,0,8.05,1,0,1,1
